Date;Temperature (K)
7/1/11;289.145
8/1/11;292.292
9/1/11;297.403
10/1/11;299.974
11/1/11;300.069
12/1/11;297.674
1/1/12;298.017
2/1/12;297.137
3/1/12;297.004
4/1/12;294.578
5/1/12;293.251
6/1/12;290.236
7/1/12;289.7
8/1/12;293.102
9/1/12;297.995
10/1/12;300.198
11/1/12;299.386
12/1/12;296.944
1/1/13;297.308
2/1/13;297
3/1/13;297.259
4/1/13;295.625
5/1/13;292.598
6/1/13;290.845
7/1/13;290.464
8/1/13;294.21
9/1/13;298.361
10/1/13;299.564
11/1/13;299.575
12/1/13;297.309
1/1/14;297.253
2/1/14;296.874
3/1/14;296.438
4/1/14;294.631
5/1/14;292.871
6/1/14;290.29
7/1/14;290.113
8/1/14;292.984
9/1/14;296.789
10/1/14;299.57
11/1/14;299.302
12/1/14;297.1
1/1/15;297.2
2/1/15;298.335
3/1/15;297.056
4/1/15;294.446
5/1/15;292.64
6/1/15;290.278
7/1/15;290.732
8/1/15;293.807
9/1/15;298.095
10/1/15;301.147
11/1/15;300.097
12/1/15;299.795
1/1/16;299.603
2/1/16;298.843
3/1/16;297.234
4/1/16;295.801
5/1/16;292.403
6/1/16;290.697
7/1/16;290.283
8/1/16;293.376
9/1/16;298.106
10/1/16;301.452
11/1/16;299.853
12/1/16;298.257
1/1/17;295.995
2/1/17;296.443
3/1/17;295.916
4/1/17;294.17
5/1/17;292.474
6/1/17;290.815
7/1/17;290.5
8/1/17;292.879
9/1/17;297.719
10/1/17;299.402
11/1/17;298.054
12/1/17;297.937
1/1/18;298.771
2/1/18;295.365
3/1/18;296.308
4/1/18;295.158
5/1/18;293.165
6/1/18;290.534
7/1/18;289.971
8/1/18;295.148
9/1/18;298.295
10/1/18;298.747
11/1/18;299.97
12/1/18;298.897
1/1/19;297.78
2/1/19;297.256
3/1/19;299.484
4/1/19;296.405
5/1/19;293.292
6/1/19;290.323
7/1/19;290.502
8/1/19;294.331
9/1/19;296.05
10/1/19;300.97
11/1/19;300.225
12/1/19;300.316
1/1/20;298.404
2/1/20;297.076
3/1/20;296.137
4/1/20;296.223
5/1/20;292.805
6/1/20;290.09
